,Car Name,Car Price,Car Type,Dealer_Name,Dealer_Link
0,2018 Volvo XC60 D5 R-Design Auto AWD MY19,"78,888*",used,Volvo Cars Canberra (New),/dealer-services/volvo-cars-canberra-new/AGC-SELLER-57539
1,2019 Volvo XC60 T5 Inscription Auto AWD MY19,"79,888*",used,Volvo Cars Canberra (New),/dealer-services/volvo-cars-canberra-new/AGC-SELLER-57539
2,2018 Volvo XC40 T4 Momentum Auto MY19,"53,888*",used,Volvo Cars Canberra (New),/dealer-services/volvo-cars-canberra-new/AGC-SELLER-57539
3,2018 Volvo XC60 T6 R-Design Auto AWD MY18,"87,888*",used,Volvo Cars Canberra (New),/dealer-services/volvo-cars-canberra-new/AGC-SELLER-57539
4,2018 Volvo XC60 D4 Inscription Auto AWD MY18,"77,888*",used,Volvo Cars Canberra (New),/dealer-services/volvo-cars-canberra-new/AGC-SELLER-57539
5,2014 Toyota Hilux SR Manual 4x4 MY14 Double Cab,"28,888*",used,Canberra Toyota Gungahlin,/dealer-services/canberra-toyota-gungahlin/AGC-SELLER-57628
6,2015 Toyota 86 GTS Manual,"21,980*",used,Canberra Toyota Gungahlin,/dealer-services/canberra-toyota-gungahlin/AGC-SELLER-57628
7,2018 Toyota Corolla Ascent Auto,"19,980*",used,Canberra Toyota Gungahlin,/dealer-services/canberra-toyota-gungahlin/AGC-SELLER-57628
8,2018 Toyota RAV4 GX Auto AWD,"32,990*",used,Canberra Toyota Gungahlin,/dealer-services/canberra-toyota-gungahlin/AGC-SELLER-57628
9,2018 Toyota Yaris SX Auto,"17,980*",used,Canberra Toyota Gungahlin,/dealer-services/canberra-toyota-gungahlin/AGC-SELLER-57628
10,2018 Alfa Romeo Stelvio Quadrifoglio Auto AWD,"134,990*",new,Gulson Canberra - New Car,/dealer-services/gulson-canberra-new-car/AGC-SELLER-52347
11,2017 Alfa Romeo Giulia Quadrifoglio Auto,"114,900*",new,Gulson Canberra - New Car,/dealer-services/gulson-canberra-new-car/AGC-SELLER-52347
12,2018 Alfa Romeo Stelvio Ti Auto AWD,"80,888*",new,Gulson Canberra - New Car,/dealer-services/gulson-canberra-new-car/AGC-SELLER-52347
13,2018 Alfa Romeo Stelvio Ti Auto AWD,"77,880*",new,Gulson Canberra - New Car,/dealer-services/gulson-canberra-new-car/AGC-SELLER-52347
14,2018 Fiat 500X Pop Auto,"28,888*",new,Gulson Canberra - New Car,/dealer-services/gulson-canberra-new-car/AGC-SELLER-52347
15,2017 Jeep Compass Limited Auto 4x4 MY18,"42,450*",used,Gulson Canberra - New Car,/dealer-services/gulson-canberra-new-car/AGC-SELLER-52347
16,2017 Alfa Romeo Giulia Veloce Auto,"64,888*",used,Gulson Canberra - New Car,/dealer-services/gulson-canberra-new-car/AGC-SELLER-52347
17,2018 Jeep Compass Trailhawk Auto 4x4 MY18,"43,950*",used,Gulson Canberra - New Car,/dealer-services/gulson-canberra-new-car/AGC-SELLER-52347
18,2018 Jeep Grand Cherokee Laredo Auto 4x4 MY18,"51,750*",used,Gulson Canberra - New Car,/dealer-services/gulson-canberra-new-car/AGC-SELLER-52347
19,2018 Jeep Compass Trailhawk Auto 4x4 MY18,"43,950*",used,Gulson Canberra - New Car,/dealer-services/gulson-canberra-new-car/AGC-SELLER-52347
20,2008 Hyundai i30 SLX Manual MY09,"6,888*",used,House of Cars Canberra,/dealer-services/house-of-cars-canberra/AGC-SELLER-59269
21,2005 Mazda 6 Classic GG Series 2 Manual,"3,888*",used,House of Cars Canberra,/dealer-services/house-of-cars-canberra/AGC-SELLER-59269
22,2004 Mazda 3 Neo BK Series 1 Manual,"4,888*",used,House of Cars Canberra,/dealer-services/house-of-cars-canberra/AGC-SELLER-59269
23,1999 Toyota Tarago GLi Auto,"2,888*",used,House of Cars Canberra,/dealer-services/house-of-cars-canberra/AGC-SELLER-59269
24,2005 Holden Astra CD AH Auto MY05,"3,888*",used,House of Cars Canberra,/dealer-services/house-of-cars-canberra/AGC-SELLER-59269
25,2001 Mercedes-Benz E-Class E200 Kompressor Classic Auto,"3,990*",used,Collins Carsales,/dealer-services/collins-carsales/AGC-SELLER-55046
26,2004 Toyota Camry Altise Auto,"4,990*",used,Collins Carsales,/dealer-services/collins-carsales/AGC-SELLER-55046
27,2011 BMW X3 xDrive20d F25 Auto 4x4,"16,990*",used,Collins Carsales,/dealer-services/collins-carsales/AGC-SELLER-55046
28,2010 Holden Calais V VE Auto MY10,"8,990*",used,Collins Carsales,/dealer-services/collins-carsales/AGC-SELLER-55046
29,2011 Mazda CX-9 Luxury TB Series 4 Auto 4WD MY11,"10,990*",used,Collins Carsales,/dealer-services/collins-carsales/AGC-SELLER-55046
30,2019 Chevrolet Camaro 2SS Auto MY19,"79,990*",new,Gerald Slaven New Cars,/dealer-services/gerald-slaven-new-cars/AGC-SELLER-15148
31,2019 Holden Astra RS-V BK Auto MY19,*,new,Gerald Slaven New Cars,/dealer-services/gerald-slaven-new-cars/AGC-SELLER-15148
32,2018 Volkswagen Amarok TDI550 Highline 2H Auto 4MOTION Perm MY19 Dual Cab,"60,888*",new,Gerald Slaven New Cars,/dealer-services/gerald-slaven-new-cars/AGC-SELLER-15148
33,2018 Jeep Compass Sport Auto FWD MY18,"27,990*",new,Gerald Slaven New Cars,/dealer-services/gerald-slaven-new-cars/AGC-SELLER-15148
34,2018 Holden Special Vehicles Colorado SportsCat Look Pack Auto 4x4 MY19,"65,888*",new,Gerald Slaven New Cars,/dealer-services/gerald-slaven-new-cars/AGC-SELLER-15148
35,2019 Volkswagen Amarok TDI550 Highline 2H Auto 4MOTION Perm MY19 Dual Cab,"58,990*",used,Gerald Slaven New Cars,/dealer-services/gerald-slaven-new-cars/AGC-SELLER-15148
36,2019 Holden Colorado LTZ RG Auto 4x4 MY19,"45,990*",used,Gerald Slaven New Cars,/dealer-services/gerald-slaven-new-cars/AGC-SELLER-15148
37,2019 Holden Trax LTZ TJ Auto MY19,"27,490*",used,Gerald Slaven New Cars,/dealer-services/gerald-slaven-new-cars/AGC-SELLER-15148
38,2019 Volkswagen Golf GTI 7.5 Auto MY19.5,"47,990*",used,Gerald Slaven New Cars,/dealer-services/gerald-slaven-new-cars/AGC-SELLER-15148
39,2018 Jeep Grand Cherokee Laredo Auto 4x2 MY18,"45,888*",used,Gerald Slaven New Cars,/dealer-services/gerald-slaven-new-cars/AGC-SELLER-15148
40,2014 Hyundai ix35 Highlander Auto AWD,"17,916*",used,National Capital Toyota,/dealer-services/national-capital-toyota/AGC-SELLER-57365
41,2013 Holden Special Vehicles Maloo R8 Manual MY14,"46,400*",used,National Capital Toyota,/dealer-services/national-capital-toyota/AGC-SELLER-57365
42,2018 Toyota Corolla Ascent Sport Auto,"22,995*",used,National Capital Toyota,/dealer-services/national-capital-toyota/AGC-SELLER-57365
43,2017 Toyota Hilux SR5 Auto 4x4 Double Cab,"46,922*",used,National Capital Toyota,/dealer-services/national-capital-toyota/AGC-SELLER-57365
44,2018 Toyota Kluger GXL Auto 2WD,"45,880*",used,National Capital Toyota,/dealer-services/national-capital-toyota/AGC-SELLER-57365
45,2018 Mercedes-Benz X-Class X250d Progressive Manual 4MATIC Dual Cab,"45,991*",new,Mercedes-Benz Canberra,/dealer-services/mercedes-benz-canberra/AGC-SELLER-49696
46,2018 Mercedes-Benz X-Class X350d Progressive Auto 4MATIC Dual Cab,"64,940*",new,Mercedes-Benz Canberra,/dealer-services/mercedes-benz-canberra/AGC-SELLER-49696
47,2018 Mercedes-Benz CLS-Class CLS350 Auto,"134,990*",used,Mercedes-Benz Canberra,/dealer-services/mercedes-benz-canberra/AGC-SELLER-49696
48,2018 Mercedes-Benz GLS-Class GLS350 d Sport Auto 4MATIC,"132,990*",used,Mercedes-Benz Canberra,/dealer-services/mercedes-benz-canberra/AGC-SELLER-49696
49,2012 Mercedes-Benz C-Class C200 BlueEFFICIENCY Auto MY12,"25,990*",used,Mercedes-Benz Canberra,/dealer-services/mercedes-benz-canberra/AGC-SELLER-49696
50,2015 Audi Q7 TDI Auto quattro MY16,"69,990*",used,Mercedes-Benz Canberra,/dealer-services/mercedes-benz-canberra/AGC-SELLER-49696
51,2018 Mercedes-Benz E-Class E300 Auto,"104,990*",used,Mercedes-Benz Canberra,/dealer-services/mercedes-benz-canberra/AGC-SELLER-49696
52,2018 Kia Sportage Si Premium Auto AWD MY19,"39,490*",new,John McGrath Auto Group - New,/dealer-services/john-mcgrath-auto-group-new/AGC-SELLER-52642
53,2017 JMC Vigus LX Manual 4x2,"20,990*",new,John McGrath Auto Group - New,/dealer-services/john-mcgrath-auto-group-new/AGC-SELLER-52642
54,2018 Ford Endura ST-Line CA Auto FWD MY19,"53,990*",used,John McGrath Auto Group - New,/dealer-services/john-mcgrath-auto-group-new/AGC-SELLER-52642
55,2017 Kia Sorento GT-Line Auto AWD MY18,"53,990*",used,John McGrath Auto Group - New,/dealer-services/john-mcgrath-auto-group-new/AGC-SELLER-52642
56,2018 Ford Endura Trend CA Auto FWD MY19,"59,990*",used,John McGrath Auto Group - New,/dealer-services/john-mcgrath-auto-group-new/AGC-SELLER-52642
57,2018 Ford Endura Trend CA Auto FWD MY19,"39,990*",used,John McGrath Auto Group - New,/dealer-services/john-mcgrath-auto-group-new/AGC-SELLER-52642
58,2018 Ford Endura Trend CA Auto AWD MY19,"45,490*",used,John McGrath Auto Group - New,/dealer-services/john-mcgrath-auto-group-new/AGC-SELLER-52642
