,Car Name,Car Price,Car Type,Dealer_Name,Dealer_Link
0,2018 Nissan QASHQAI ST J11 Series 2 Auto,"21,990*",used,Whyalla Toyota and Hyundai,/dealer-services/whyalla-toyota-and-hyundai/AGC-SELLER-52599
1,2018 Mitsubishi Pajero GLS NX Auto 4x4 MY19,"49,990*",used,Whyalla Toyota and Hyundai,/dealer-services/whyalla-toyota-and-hyundai/AGC-SELLER-52599
2,2017 Holden Colorado LTZ RG Manual 4x4 MY18,"39,990*",used,Whyalla Toyota and Hyundai,/dealer-services/whyalla-toyota-and-hyundai/AGC-SELLER-52599
3,2018 Nissan Patrol Ti Y62 Series 4 Auto 4x4,"61,990*",used,Whyalla Toyota and Hyundai,/dealer-services/whyalla-toyota-and-hyundai/AGC-SELLER-52599
4,2019 Nissan X-TRAIL Ti T32 Series II Auto 4WD,"44,990*",used,Whyalla Toyota and Hyundai,/dealer-services/whyalla-toyota-and-hyundai/AGC-SELLER-52599
5,2018 Mercedes-Benz GLE-Class GLE43 AMG Auto 4MATIC,"129,363*",used,Mercedes-Benz Unley - New,/dealer-services/mercedes-benz-unley-new/AGC-SELLER-55314
6,2019 Mercedes-Benz B-Class B180 Auto,"50,363*",used,Mercedes-Benz Unley - New,/dealer-services/mercedes-benz-unley-new/AGC-SELLER-55314
7,2018 Mercedes-Benz C-Class C43 AMG Auto 4MATIC,"97,363*",used,Mercedes-Benz Unley - New,/dealer-services/mercedes-benz-unley-new/AGC-SELLER-55314
8,2019 Mercedes-Benz SLC-Class SLC200 Auto,"79,363*",used,Mercedes-Benz Unley - New,/dealer-services/mercedes-benz-unley-new/AGC-SELLER-55314
9,2019 Mercedes-Benz C-Class C200 Auto,"67,363*",used,Mercedes-Benz Unley - New,/dealer-services/mercedes-benz-unley-new/AGC-SELLER-55314
10,2013 Toyota 86 GTS Manual,"19,988*",used,Jims Automobiles,/dealer-services/jims-automobiles/AGC-SELLER-12727
11,2006 Ford Falcon XT BF Mk II Auto,"3,998*",used,Jims Automobiles,/dealer-services/jims-automobiles/AGC-SELLER-12727
12,2007 Ford Falcon Ute XL BF Mk II Auto Super Cab,"6,998*",used,Jims Automobiles,/dealer-services/jims-automobiles/AGC-SELLER-12727
13,2009 Audi A6 Auto quattro MY09,"13,998*",used,Jims Automobiles,/dealer-services/jims-automobiles/AGC-SELLER-12727
14,1990 Ford Laser GL KF Auto,"3,998*",used,Jims Automobiles,/dealer-services/jims-automobiles/AGC-SELLER-12727
15,2016 Ford Ranger XLT PX MkII Manual 4x4 Double Cab,"37,990*",used,Peter Kittle Holden Used,/dealer-services/peter-kittle-holden-used/AGC-SELLER-50824
16,2006 Toyota Camry Sportivo Auto,"9,888*",used,Peter Kittle Holden Used,/dealer-services/peter-kittle-holden-used/AGC-SELLER-50824
17,2016 Holden Colorado LTZ RG Manual 4x4 MY16,"31,888*",used,Peter Kittle Holden Used,/dealer-services/peter-kittle-holden-used/AGC-SELLER-50824
18,2014 Holden Captiva 7 LTZ CG Auto AWD MY14,"19,990*",used,Peter Kittle Holden Used,/dealer-services/peter-kittle-holden-used/AGC-SELLER-50824
19,2010 Mazda 6 Classic GH Series 2 Auto MY10,"12,888*",used,Peter Kittle Holden Used,/dealer-services/peter-kittle-holden-used/AGC-SELLER-50824
20,NA,NA,NA,Trade In Solutions,/dealer-services/trade-in-solutions/AGC-SELLER-55217
21,2010 Holden Berlina VE Auto MY10,"8,900*",used,Universal Motor Auction Group,/dealer-services/universal-motor-auction-group/AGC-SELLER-12418
22,2014 Toyota 86 GT Manual MY15,"19,800*",used,Universal Motor Auction Group,/dealer-services/universal-motor-auction-group/AGC-SELLER-12418
23,2018 Ford Escape ST-Line ZG Auto AWD MY18.75,"33,950*",used,Universal Motor Auction Group,/dealer-services/universal-motor-auction-group/AGC-SELLER-12418
24,2014 Toyota Kluger GXL Auto AWD,"27,900*",used,Universal Motor Auction Group,/dealer-services/universal-motor-auction-group/AGC-SELLER-12418
25,2015 Mitsubishi Lancer ES Sport CJ Auto MY15,"14,500*",used,Universal Motor Auction Group,/dealer-services/universal-motor-auction-group/AGC-SELLER-12418
26,2016 Toyota Hilux SR5 Auto 4x4 Double Cab,"39,490*",used,CMI Southside,/dealer-services/cmi-southside/AGC-SELLER-7803
27,2018 Toyota Camry Ascent Auto,"24,260*",used,CMI Southside,/dealer-services/cmi-southside/AGC-SELLER-7803
28,2018 Toyota RAV4 GX Auto AWD,"29,760*",used,CMI Southside,/dealer-services/cmi-southside/AGC-SELLER-7803
29,2014 Toyota Hilux SR Manual 4x4 MY14 Double Cab,"26,990*",used,CMI Southside,/dealer-services/cmi-southside/AGC-SELLER-7803
30,2017 Toyota Corolla Ascent Auto,"17,990*",used,CMI Southside,/dealer-services/cmi-southside/AGC-SELLER-7803
31,2019 Kia Stinger GT Auto MY19,"59,990*",used,Barossa Auto Group,/dealer-services/barossa-auto-group/AGC-SELLER-12520
32,2008 Holden Rodeo LX RA Manual 4x2 MY08,"8,960*",used,Barossa Auto Group,/dealer-services/barossa-auto-group/AGC-SELLER-12520
33,2018 Kia Sportage Si Premium Auto AWD MY18,"31,347*",used,Barossa Auto Group,/dealer-services/barossa-auto-group/AGC-SELLER-12520
34,2018 Kia Cerato S Auto MY18,"15,960*",used,Barossa Auto Group,/dealer-services/barossa-auto-group/AGC-SELLER-12520
35,2009 Ford Ranger XLT PK Auto 4x4,"19,990*",used,Barossa Auto Group,/dealer-services/barossa-auto-group/AGC-SELLER-12520
36,NA,NA,NA,North East Fiat Group,/dealer-services/north-east-fiat-group/AGC-SELLER-18592
37,2019 Holden Acadia LT AC Auto 2WD MY19,"48,206*",new,Peter Page Demos,/dealer-services/peter-page-demos/AGC-SELLER-7923
38,2019 Holden Colorado Storm RG Auto 4x4 MY20,*,new,Peter Page Demos,/dealer-services/peter-page-demos/AGC-SELLER-7923
39,2019 Holden Colorado LTZ RG Auto 4x4 MY19,"56,650*",new,Peter Page Demos,/dealer-services/peter-page-demos/AGC-SELLER-7923
40,2019 Holden Colorado LTZ RG Auto 4x4 MY19,"49,990*",new,Peter Page Demos,/dealer-services/peter-page-demos/AGC-SELLER-7923
41,2019 Holden Acadia LT AC Auto 2WD MY19,*,new,Peter Page Demos,/dealer-services/peter-page-demos/AGC-SELLER-7923
42,2018 Holden Commodore RS ZB Auto AWD MY18,"33,888*",used,Peter Page Demos,/dealer-services/peter-page-demos/AGC-SELLER-7923
43,2018 Holden Commodore LT ZB Auto MY18,"39,029*",used,Peter Page Demos,/dealer-services/peter-page-demos/AGC-SELLER-7923
44,2018 Holden Commodore RS ZB Auto MY18,"34,888*",used,Peter Page Demos,/dealer-services/peter-page-demos/AGC-SELLER-7923
45,2018 Holden Equinox LS+ EQ Auto FWD MY18,"28,888*",used,Peter Page Demos,/dealer-services/peter-page-demos/AGC-SELLER-7923
46,2019 Holden Colorado LS RG Auto 4x4 MY19,"38,444*",used,Peter Page Demos,/dealer-services/peter-page-demos/AGC-SELLER-7923
47,2017 Renault Megane Zen Auto,"26,990*",used,Southern Vales Renault,/dealer-services/southern-vales-renault/AGC-SELLER-57368
48,2018 Renault Master Medium Wheelbase Auto,"44,990*",used,Southern Vales Renault,/dealer-services/southern-vales-renault/AGC-SELLER-57368
49,2019 Renault Captur Zen Auto,"24,888*",used,Southern Vales Renault,/dealer-services/southern-vales-renault/AGC-SELLER-57368
50,2019 SKODA Superb 162TSI Auto MY19,"52,890*",new,Jarvis Hillcrest,/dealer-services/jarvis-hillcrest/AGC-SELLER-1225
51,2019 SKODA Fabia 81TSI Auto MY20,"24,840*",new,Jarvis Hillcrest,/dealer-services/jarvis-hillcrest/AGC-SELLER-1225
52,2019 SKODA Kodiaq 132TSI Auto 4x4 MY19,"56,190*",new,Jarvis Hillcrest,/dealer-services/jarvis-hillcrest/AGC-SELLER-1225
53,2019 SKODA Octavia Sport 110TSI Auto MY20,"37,340*",new,Jarvis Hillcrest,/dealer-services/jarvis-hillcrest/AGC-SELLER-1225
54,2019 SKODA Kodiaq 132TSI Auto 4x4 MY19,"49,890*",new,Jarvis Hillcrest,/dealer-services/jarvis-hillcrest/AGC-SELLER-1225
55,2018 SKODA Rapid Auto MY19,"20,990*",used,Jarvis Hillcrest,/dealer-services/jarvis-hillcrest/AGC-SELLER-1225
56,2018 Lexus RX RX450h Luxury Auto 4x4,"69,888*",used,Jarvis Hillcrest,/dealer-services/jarvis-hillcrest/AGC-SELLER-1225
57,2016 BMW X5 xDrive30d F15 Auto 4x4,"59,990*",used,Jarvis Hillcrest,/dealer-services/jarvis-hillcrest/AGC-SELLER-1225
58,2015 Jeep Renegade Sport Manual MY16,"17,777*",used,Jarvis Hillcrest,/dealer-services/jarvis-hillcrest/AGC-SELLER-1225
59,2019 SKODA Octavia RS 245 Auto MY19,"48,888*",used,Jarvis Hillcrest,/dealer-services/jarvis-hillcrest/AGC-SELLER-1225
60,2013 Ford Ranger XL PX Manual 4x4 Double Cab,"17,888*",used,Arrow Car Sales,/dealer-services/arrow-car-sales/AGC-SELLER-29865
61,2013 Volkswagen Tiguan 118TSI 5N Manual 2WD MY13.5,"11,444*",used,Arrow Car Sales,/dealer-services/arrow-car-sales/AGC-SELLER-29865
62,2013 Holden Cruze CDX JH Series II Auto MY13,"8,990*",used,Arrow Car Sales,/dealer-services/arrow-car-sales/AGC-SELLER-29865
