,Car Name,Car Price,Car Type,Dealer_Name,Dealer_Link
0,2018 Bentley Continental GT Auto 4x4 MY19,"449,990*",used,ONLINE AUTOS,/dealer-services/online-autos/AGC-SELLER-55221
1,2014 Audi A5 Auto quattro MY14,"28,990*",used,ONLINE AUTOS,/dealer-services/online-autos/AGC-SELLER-55221
2,2018 Mercedes-Benz Marco Polo ACTIVITY 116BlueTEC Auto,"69,990*",used,ONLINE AUTOS,/dealer-services/online-autos/AGC-SELLER-55221
3,2011 Land Rover Discovery 4 TdV6 Auto 4x4 MY11,"19,900*",used,ONLINE AUTOS,/dealer-services/online-autos/AGC-SELLER-55221
4,2014 BMW X5 sDrive25d F15 Auto,"42,990*",used,ONLINE AUTOS,/dealer-services/online-autos/AGC-SELLER-55221
5,2019 Hyundai Venue Active Auto MY20,*,new,Bunbury Hyundai New,/dealer-services/bunbury-hyundai-new/AGC-SELLER-29309
6,2019 Hyundai iLoad Auto MY19,*,new,Bunbury Hyundai New,/dealer-services/bunbury-hyundai-new/AGC-SELLER-29309
7,2019 Hyundai Tucson Highlander Auto AWD MY20,*,new,Bunbury Hyundai New,/dealer-services/bunbury-hyundai-new/AGC-SELLER-29309
8,2019 Hyundai Venue Go Auto MY20,*,new,Bunbury Hyundai New,/dealer-services/bunbury-hyundai-new/AGC-SELLER-29309
9,2019 Hyundai Veloster Turbo Auto MY20,*,new,Bunbury Hyundai New,/dealer-services/bunbury-hyundai-new/AGC-SELLER-29309
10,2019 Hyundai i30 Active Auto MY19,"24,990*",used,Bunbury Hyundai New,/dealer-services/bunbury-hyundai-new/AGC-SELLER-29309
11,2018 Hyundai Elantra Active Auto MY19,"25,990*",used,Bunbury Hyundai New,/dealer-services/bunbury-hyundai-new/AGC-SELLER-29309
12,2019 Hyundai Kona Active Auto 2WD MY19,"29,490*",used,Bunbury Hyundai New,/dealer-services/bunbury-hyundai-new/AGC-SELLER-29309
13,2018 Hyundai Santa Fe Active Auto 4x4 MY19,"45,990*",used,Bunbury Hyundai New,/dealer-services/bunbury-hyundai-new/AGC-SELLER-29309
14,2019 INFINITI Q60 Pure Auto,"46,990*",new,Perth Infiniti Centre,/dealer-services/perth-infiniti-centre/AGC-SELLER-57864
15,2019 INFINITI Q60 Pure Auto,"46,990*",used,Perth Infiniti Centre,/dealer-services/perth-infiniti-centre/AGC-SELLER-57864
16,2019 INFINITI Q30 Sport Auto,"39,888*",used,Perth Infiniti Centre,/dealer-services/perth-infiniti-centre/AGC-SELLER-57864
17,2018 Kia Soul Si Auto MY19,"21,845*",used,Joe Crisafio Kia,/dealer-services/joe-crisafio-kia/AGC-SELLER-12647
18,2013 Toyota Landcruiser Sahara Auto 4x4 MY13,"69,975*",used,Joe Crisafio Kia,/dealer-services/joe-crisafio-kia/AGC-SELLER-12647
19,2013 Mazda CX-5 Maxx Sport KE Series Auto AWD MY13,"19,560*",used,Joe Crisafio Kia,/dealer-services/joe-crisafio-kia/AGC-SELLER-12647
20,2015 Mitsubishi Outlander LS ZK Auto 4WD MY16,"18,560*",used,Joe Crisafio Kia,/dealer-services/joe-crisafio-kia/AGC-SELLER-12647
21,2016 Volkswagen Golf GTI 7 Auto MY17,"33,888*",used,Joe Crisafio Kia,/dealer-services/joe-crisafio-kia/AGC-SELLER-12647
22,NA,NA,NA,Brogen Investments,/dealer-services/brogen-investments/AGC-SELLER-18359
23,2019 Honda Odyssey VTi Auto MY19,"39,999*",used,Wangara Honda New Cars,/dealer-services/wangara-honda-new-cars/AGC-SELLER-51786
24,2019 Honda CR-V VTi-S Auto 4WD MY19,"38,999*",used,Wangara Honda New Cars,/dealer-services/wangara-honda-new-cars/AGC-SELLER-51786
25,2019 Honda Odyssey VTi-L Auto MY19,"48,999*",used,Wangara Honda New Cars,/dealer-services/wangara-honda-new-cars/AGC-SELLER-51786
26,2019 Honda CR-V VTi-LX Auto 4WD MY19,"47,999*",used,Wangara Honda New Cars,/dealer-services/wangara-honda-new-cars/AGC-SELLER-51786
27,2019 Honda Civic 50 Years Edition Auto MY19,"23,999*",used,Wangara Honda New Cars,/dealer-services/wangara-honda-new-cars/AGC-SELLER-51786
28,2012 Jeep Patriot Sport Auto 4x2 MY13,"9,500*",used,Wangara Volkswagen Used Cars,/dealer-services/wangara-volkswagen-used-cars/AGC-SELLER-15742
29,2017 Volkswagen Tiguan 110TSI Trendline 5N Auto 2WD MY17,"24,888*",used,Wangara Volkswagen Used Cars,/dealer-services/wangara-volkswagen-used-cars/AGC-SELLER-15742
30,2014 Volvo V40 T4 Luxury Auto MY15,"18,888*",used,Wangara Volkswagen Used Cars,/dealer-services/wangara-volkswagen-used-cars/AGC-SELLER-15742
31,2014 Volkswagen Amarok TDI400 Highline 2H Manual 4MOT MY14 Dual Cab,"23,888*",used,Wangara Volkswagen Used Cars,/dealer-services/wangara-volkswagen-used-cars/AGC-SELLER-15742
32,2017 Volkswagen Polo 66TSI Urban 6R Auto MY17.5,"14,990*",used,Wangara Volkswagen Used Cars,/dealer-services/wangara-volkswagen-used-cars/AGC-SELLER-15742
33,2008 Mazda CX-7 Luxury ER Series 1 Auto 4WD MY07,"7,969*",used,Eurocars (Wholesale) Pty Ltd,/dealer-services/eurocars-wholesale-pty-ltd/AGC-SELLER-18315
34,2009 Hyundai Tucson City SX Auto MY09,"7,969*",used,Eurocars (Wholesale) Pty Ltd,/dealer-services/eurocars-wholesale-pty-ltd/AGC-SELLER-18315
35,2004 Citroen C5 SX HDi Auto,"2,769*",used,Eurocars (Wholesale) Pty Ltd,/dealer-services/eurocars-wholesale-pty-ltd/AGC-SELLER-18315
36,2013 Peugeot 308 Access Manual MY13,"8,497*",used,Eurocars (Wholesale) Pty Ltd,/dealer-services/eurocars-wholesale-pty-ltd/AGC-SELLER-18315
37,2005 Renault Megane Expression Manual,"3,297*",used,Eurocars (Wholesale) Pty Ltd,/dealer-services/eurocars-wholesale-pty-ltd/AGC-SELLER-18315
38,2014 Toyota RAV4 GX Auto 2WD MY14,"16,989*",used,Grand Toyota Clarkson Used Cars,/dealer-services/grand-toyota-clarkson-used-cars/AGC-SELLER-14500
39,2015 Toyota Corolla Ascent Sport Auto,"14,988*",used,Grand Toyota Clarkson Used Cars,/dealer-services/grand-toyota-clarkson-used-cars/AGC-SELLER-14500
40,2015 Toyota Kluger Grande Auto AWD,"38,989*",used,Grand Toyota Clarkson Used Cars,/dealer-services/grand-toyota-clarkson-used-cars/AGC-SELLER-14500
41,2018 BMW X2 sDrive20i M Sport F39 Auto,"43,988*",used,Grand Toyota Clarkson Used Cars,/dealer-services/grand-toyota-clarkson-used-cars/AGC-SELLER-14500
42,2011 Toyota Camry Hybrid Auto,"12,988*",used,Grand Toyota Clarkson Used Cars,/dealer-services/grand-toyota-clarkson-used-cars/AGC-SELLER-14500
43,2019 Land Rover Range Rover Sport SDV6 183kW SE Auto 4x4 MY19.5,"132,455*",new,Southerns JLR,/dealer-services/southerns-jlr/AGC-SELLER-17994
44,2019 Land Rover Discovery SD6 SE Auto 4x4 MY19,"128,133*",new,Southerns JLR,/dealer-services/southerns-jlr/AGC-SELLER-17994
45,2019 Land Rover Range Rover Velar D275 S Auto AWD MY20,"120,970*",new,Southerns JLR,/dealer-services/southerns-jlr/AGC-SELLER-17994
46,2019 Land Rover Range Rover Evoque D180 SE Auto 4x4 MY20,"88,110*",new,Southerns JLR,/dealer-services/southerns-jlr/AGC-SELLER-17994
47,2019 Land Rover Range Rover Velar P250 SE Auto AWD MY20,"111,517*",new,Southerns JLR,/dealer-services/southerns-jlr/AGC-SELLER-17994
48,2019 Land Rover Discovery SD6 HSE Auto 4x4 MY19,"124,265*",used,Southerns JLR,/dealer-services/southerns-jlr/AGC-SELLER-17994
49,2019 Land Rover Range Rover Sport SDV6 183kW SE Auto 4x4 MY19.5,"134,225*",used,Southerns JLR,/dealer-services/southerns-jlr/AGC-SELLER-17994
50,2019 Land Rover Discovery SD6 SE Auto 4x4 MY19,"107,990*",used,Southerns JLR,/dealer-services/southerns-jlr/AGC-SELLER-17994
51,2019 Land Rover Range Rover SDV8 Vogue SE Auto 4x4 MY19,"252,410*",used,Southerns JLR,/dealer-services/southerns-jlr/AGC-SELLER-17994
52,2019 Land Rover Range Rover Sport SDV6 183kW SE Auto 4x4 MY19.5,"122,990*",used,Southerns JLR,/dealer-services/southerns-jlr/AGC-SELLER-17994
53,NA,NA,NA,Nuford New Cars,/dealer-services/nuford-new-cars/AGC-SELLER-14843
54,2019 Mazda 6 GT GL Series Auto,"43,490*",used,Rockingham Mazda New,/dealer-services/rockingham-mazda-new/AGC-SELLER-52584
55,2019 Mazda 3 G20 Evolve BP Series Auto,"29,555*",used,Rockingham Mazda New,/dealer-services/rockingham-mazda-new/AGC-SELLER-52584
56,2019 Mazda CX-5 Maxx Sport KF Series Auto FWD,"36,888*",used,Rockingham Mazda New,/dealer-services/rockingham-mazda-new/AGC-SELLER-52584
57,2019 Mazda 2 Neo DJ Series Auto,"19,638*",used,Rockingham Mazda New,/dealer-services/rockingham-mazda-new/AGC-SELLER-52584
