,Car Name,Car Price,Car Type,Dealer_Name,Dealer_Link
0,NA,NA,NA,Parkside Automobiles Pty Ltd,/dealer-services/parkside-automobiles-pty-ltd/AGC-SELLER-54073
1,2014 Mercedes-Benz C-Class C250 Auto,"36,000*",used,Mercedes-Benz North Shore - Mosman,/dealer-services/mercedes-benz-north-shore-mosman/AGC-SELLER-8650
2,2015 Mercedes-Benz G-Class G63 AMG Auto 4MATIC MY16,"173,500*",used,Mercedes-Benz North Shore - Mosman,/dealer-services/mercedes-benz-north-shore-mosman/AGC-SELLER-8650
3,2017 Mercedes-Benz GLC-Class GLC43 AMG Auto 4MATIC,"90,000*",used,Mercedes-Benz North Shore - Mosman,/dealer-services/mercedes-benz-north-shore-mosman/AGC-SELLER-8650
4,2017 Mercedes-Benz GLC-Class GLC250 Auto 4MATIC,"61,000*",used,Mercedes-Benz North Shore - Mosman,/dealer-services/mercedes-benz-north-shore-mosman/AGC-SELLER-8650
5,2013 Mercedes-Benz B-Class B180 BlueEFFICIENCY Auto,"23,500*",used,Mercedes-Benz North Shore - Mosman,/dealer-services/mercedes-benz-north-shore-mosman/AGC-SELLER-8650
6,2008 Audi A5 Auto,"16,888*",used,Australia Longwell Motor Pty Ltd,/dealer-services/australia-longwell-motor-pty-ltd/AGC-SELLER-53576
7,2011 Audi A4 Auto MY11,"15,888*",used,Australia Longwell Motor Pty Ltd,/dealer-services/australia-longwell-motor-pty-ltd/AGC-SELLER-53576
8,2015 Audi A1 Attraction Auto MY14,"15,888*",used,Australia Longwell Motor Pty Ltd,/dealer-services/australia-longwell-motor-pty-ltd/AGC-SELLER-53576
9,2015 Volkswagen Golf 103TSI Highline 7 Auto MY15,"20,888*",used,Australia Longwell Motor Pty Ltd,/dealer-services/australia-longwell-motor-pty-ltd/AGC-SELLER-53576
10,2011 BMW 3 Series 320d E93 Auto MY12,"28,888*",used,Australia Longwell Motor Pty Ltd,/dealer-services/australia-longwell-motor-pty-ltd/AGC-SELLER-53576
11,NA,NA,NA,David Carlon Motors,/dealer-services/david-carlon-motors/AGC-SELLER-17387
12,2015 Hyundai i30 Active X Auto MY16,"15,990*",used,Booth's Motor Group - Tuggerah,/dealer-services/booths-motor-group-tuggerah/AGC-SELLER-11138
13,2015 Mitsubishi Challenger LS PC Auto 4x4 MY14,"27,990*",used,Booth's Motor Group - Tuggerah,/dealer-services/booths-motor-group-tuggerah/AGC-SELLER-11138
14,2017 Toyota Hilux Workmate Manual 4x2,"21,990*",used,Booth's Motor Group - Tuggerah,/dealer-services/booths-motor-group-tuggerah/AGC-SELLER-11138
15,2018 Mitsubishi Pajero Sport GLS QE Auto 4x4 MY18,"39,990*",used,Booth's Motor Group - Tuggerah,/dealer-services/booths-motor-group-tuggerah/AGC-SELLER-11138
16,2011 Toyota Hilux Workmate Auto 4x2 MY12 Double Cab,"17,990*",used,Booth's Motor Group - Tuggerah,/dealer-services/booths-motor-group-tuggerah/AGC-SELLER-11138
