,Car Name,Car Price,Car Type,Dealer_Name,Dealer_Link
0,2013 Mazda 2 Neo DE Series 2 Manual MY13,"8,980*",used,Kerrys Automotive Group,/dealer-services/kerrys-automotive-group/AGC-SELLER-8552
1,2015 Holden Cruze SRi-V JH Series II Manual MY15,"13,980*",used,Kerrys Automotive Group,/dealer-services/kerrys-automotive-group/AGC-SELLER-8552
2,2018 Toyota RAV4 GX Auto AWD,"27,980*",used,Kerrys Automotive Group,/dealer-services/kerrys-automotive-group/AGC-SELLER-8552
3,2016 Mazda BT-50 XT UR Manual 4x4 Dual Cab,"28,980*",used,Kerrys Automotive Group,/dealer-services/kerrys-automotive-group/AGC-SELLER-8552
4,2011 Toyota Corolla Ascent Auto MY11,"11,980*",used,Kerrys Automotive Group,/dealer-services/kerrys-automotive-group/AGC-SELLER-8552
5,2019 Nissan Patrol Ti-L Y62 Series 4 Auto 4x4,"89,999*",used,Centralian Motors,/dealer-services/centralian-motors/AGC-SELLER-16776
6,2018 Nissan Navara ST-X D23 Series 3 Auto 4x4 Dual Cab,"46,995*",used,Centralian Motors,/dealer-services/centralian-motors/AGC-SELLER-16776
7,2018 Nissan Navara ST D23 Series 3 Auto 4x4 Dual Cab,"48,990*",used,Centralian Motors,/dealer-services/centralian-motors/AGC-SELLER-16776
8,2018 Nissan Navara SL D23 Series 3 Auto 4x4 Dual Cab,"42,866*",used,Centralian Motors,/dealer-services/centralian-motors/AGC-SELLER-16776
9,2013 Hyundai ix35 Active Auto,"17,999*",used,Centralian Motors,/dealer-services/centralian-motors/AGC-SELLER-16776
10,NA,NA,NA,Centrepoint Cars,/dealer-services/centrepoint-cars/AGC-SELLER-56801
11,2019 Mitsubishi Outlander ES ZL Auto AWD MY19,"29,990*",used,Hidden Valley Ford,/dealer-services/hidden-valley-ford/AGC-SELLER-29580
12,2018 Mitsubishi ASX LS XC Auto 2WD MY18,"21,999*",used,Hidden Valley Ford,/dealer-services/hidden-valley-ford/AGC-SELLER-29580
13,2013 Volkswagen Golf 90TSI 7 Auto,"13,990*",used,Hidden Valley Ford,/dealer-services/hidden-valley-ford/AGC-SELLER-29580
14,2018 Toyota Corolla ZR Auto,"27,499*",used,Hidden Valley Ford,/dealer-services/hidden-valley-ford/AGC-SELLER-29580
15,2014 Holden Special Vehicles Clubsport R8 Manual MY14,"51,999*",used,Hidden Valley Ford,/dealer-services/hidden-valley-ford/AGC-SELLER-29580
16,2008 Holden Ute SS V VE Auto,"19,999*",used,Dustins Auto Sales,/dealer-services/dustins-auto-sales/AGC-SELLER-51354
17,2017 Toyota Landcruiser GXL Manual 4x4,"69,999*",used,Dustins Auto Sales,/dealer-services/dustins-auto-sales/AGC-SELLER-51354
18,2014 Toyota Landcruiser Prado GXL Auto 4x4 MY14,"46,999*",used,Dustins Auto Sales,/dealer-services/dustins-auto-sales/AGC-SELLER-51354
19,2015 Toyota Landcruiser Prado GX Manual 4x4 MY14,"44,999*",used,Dustins Auto Sales,/dealer-services/dustins-auto-sales/AGC-SELLER-51354
20,2015 Toyota Landcruiser Prado GXL Auto 4x4,"44,999*",used,Dustins Auto Sales,/dealer-services/dustins-auto-sales/AGC-SELLER-51354
21,NA,NA,NA,Stuart Motor Group,/dealer-services/stuart-motor-group/AGC-SELLER-51471
22,2018 Toyota Hilux SR5 Manual 4x4 Double Cab,"48,990*",used,Peter Kittle Motor Company,/dealer-services/peter-kittle-motor-company/AGC-SELLER-10648
23,2019 Mitsubishi Triton GLX+ MR Auto 4x4 MY19,"45,990*",used,Peter Kittle Motor Company,/dealer-services/peter-kittle-motor-company/AGC-SELLER-10648
24,2017 Mitsubishi Triton GLX+ MQ Auto 4x4 MY18 Double Cab,"27,990*",used,Peter Kittle Motor Company,/dealer-services/peter-kittle-motor-company/AGC-SELLER-10648
25,2018 Toyota RAV4 Cruiser Auto AWD,"38,990*",used,Peter Kittle Motor Company,/dealer-services/peter-kittle-motor-company/AGC-SELLER-10648
26,2017 Toyota Kluger GXL Auto 2WD,"34,990*",used,Peter Kittle Motor Company,/dealer-services/peter-kittle-motor-company/AGC-SELLER-10648
27,2013 Nissan Dualis Ti-L J10 Series 3 Manual 2WD MY12,"13,990*",used,DMG Stuart Park,/dealer-services/dmg-stuart-park/AGC-SELLER-58150
28,2010 Holden Ute SV6 VE Series II Manual,"12,990*",used,DMG Stuart Park,/dealer-services/dmg-stuart-park/AGC-SELLER-58150
29,2012 Mitsubishi Challenger LS PB Manual 4x4 MY12,"13,990*",used,DMG Stuart Park,/dealer-services/dmg-stuart-park/AGC-SELLER-58150
30,2011 Holden Colorado LX RC Manual 4x2 MY11,"7,990*",used,DMG Stuart Park,/dealer-services/dmg-stuart-park/AGC-SELLER-58150
31,2012 Audi A4 Auto MY13,"18,990*",used,DMG Stuart Park,/dealer-services/dmg-stuart-park/AGC-SELLER-58150
32,NA,NA,NA,Hidden Valley Ford New Cars,/dealer-services/hidden-valley-ford-new-cars/AGC-SELLER-55042
33,2016 Toyota Hilux Workmate Manual 4x4 Double Cab,"30,990*",used,Bridge Toyota Darwin Used Cars,/dealer-services/bridge-toyota-darwin-used-cars/AGC-SELLER-11029
34,2013 Toyota Landcruiser GXL Auto 4x4 MY12,"61,990*",used,Bridge Toyota Darwin Used Cars,/dealer-services/bridge-toyota-darwin-used-cars/AGC-SELLER-11029
35,2016 Toyota Corolla Hybrid Auto,"21,990*",used,Bridge Toyota Darwin Used Cars,/dealer-services/bridge-toyota-darwin-used-cars/AGC-SELLER-11029
36,2017 Toyota Landcruiser Prado GX Auto 4x4,"45,990*",used,Bridge Toyota Darwin Used Cars,/dealer-services/bridge-toyota-darwin-used-cars/AGC-SELLER-11029
37,2018 Mazda CX-9 Touring TC Auto,"42,990*",used,Bridge Toyota Darwin Used Cars,/dealer-services/bridge-toyota-darwin-used-cars/AGC-SELLER-11029
38,2012 Suzuki Grand Vitara Manual 4x4 MY13,"14,990*",used,Auto Trend Winnellie,/dealer-services/auto-trend-winnellie/AGC-SELLER-17064
39,2011 Toyota Hilux Workmate Manual 4x2 MY10,"9,990*",used,Auto Trend Winnellie,/dealer-services/auto-trend-winnellie/AGC-SELLER-17064
40,2013 Mitsubishi Triton GL MN Manual 4x2 MY13,"13,990*",used,Auto Trend Winnellie,/dealer-services/auto-trend-winnellie/AGC-SELLER-17064
41,2015 Toyota Hilux Workmate Manual 4x2,"19,990*",used,Auto Trend Winnellie,/dealer-services/auto-trend-winnellie/AGC-SELLER-17064
42,2006 Toyota Landcruiser Standard Manual 4x4,"24,990*",used,Auto Trend Winnellie,/dealer-services/auto-trend-winnellie/AGC-SELLER-17064
43,2017 Toyota Landcruiser GXL Auto 4x4,"72,500*",used,Pickles Auctions - Darwin,/dealer-services/pickles-auctions-darwin/AGC-SELLER-29843
44,2014 Ford Territory TX SZ Auto,"12,500*",used,Pickles Auctions - Darwin,/dealer-services/pickles-auctions-darwin/AGC-SELLER-29843
45,2015 Holden Colorado LT RG Auto 4x4 MY15,"28,000*",used,Pickles Auctions - Darwin,/dealer-services/pickles-auctions-darwin/AGC-SELLER-29843
46,2013 Toyota Camry Altise Auto,"13,680*",used,Pickles Auctions - Darwin,/dealer-services/pickles-auctions-darwin/AGC-SELLER-29843
47,2015 Toyota Hiace LWB Auto,"21,480*",used,Pickles Auctions - Darwin,/dealer-services/pickles-auctions-darwin/AGC-SELLER-29843
48,NA,NA,NA,Pickles - Darwin,/dealer-services/pickles-darwin/AGC-SELLER-51077
49,2013 Mitsubishi Triton GL MN Manual 4x2 MY13,"12,990*",used,Discount Cars & Commercials,/dealer-services/discount-cars-commercials/AGC-SELLER-15774
50,2005 Toyota Hilux SR5 Manual 4x4 MY05 Dual Cab,"17,990*",used,Discount Cars & Commercials,/dealer-services/discount-cars-commercials/AGC-SELLER-15774
51,2007 Mazda 3 Maxx BK Series 2 Auto,"9,990*",used,Discount Cars & Commercials,/dealer-services/discount-cars-commercials/AGC-SELLER-15774
52,2013 Ford Focus Trend LW MKII Auto,"11,990*",used,Discount Cars & Commercials,/dealer-services/discount-cars-commercials/AGC-SELLER-15774
53,2009 Toyota Camry Altise Auto,"9,990*",used,Discount Cars & Commercials,/dealer-services/discount-cars-commercials/AGC-SELLER-15774
54,2016 Volkswagen Tiguan 118TSI 5N Auto 2WD MY16,"19,990*",used,DMG Winnellie,/dealer-services/dmg-winnellie/AGC-SELLER-58187
55,2016 Volkswagen Golf GTI 7 Manual MY17,"26,990*",used,DMG Winnellie,/dealer-services/dmg-winnellie/AGC-SELLER-58187
