,Car Name,Car Price,Car Type,Dealer_Name,Dealer_Link
0,NA,NA,NA,Kerrys Automotive Group,/dealer-services/kerrys-automotive-group/AGC-SELLER-8552
1,2019 Nissan Patrol Ti-L Y62 Series 4 Auto 4x4,"89,999*",used,Centralian Motors,/dealer-services/centralian-motors/AGC-SELLER-16776
2,2018 Nissan Navara ST-X D23 Series 3 Auto 4x4 Dual Cab,"46,995*",used,Centralian Motors,/dealer-services/centralian-motors/AGC-SELLER-16776
3,2018 Nissan Navara ST D23 Series 3 Auto 4x4 Dual Cab,"48,990*",used,Centralian Motors,/dealer-services/centralian-motors/AGC-SELLER-16776
4,2018 Nissan Navara SL D23 Series 3 Auto 4x4 Dual Cab,"42,866*",used,Centralian Motors,/dealer-services/centralian-motors/AGC-SELLER-16776
5,2013 Hyundai ix35 Active Auto,"17,999*",used,Centralian Motors,/dealer-services/centralian-motors/AGC-SELLER-16776
6,NA,NA,NA,Centrepoint Cars,/dealer-services/centrepoint-cars/AGC-SELLER-56801
7,2019 Mitsubishi Outlander ES ZL Auto AWD MY19,"29,990*",used,Hidden Valley Ford,/dealer-services/hidden-valley-ford/AGC-SELLER-29580
8,2018 Mitsubishi ASX LS XC Auto 2WD MY18,"21,999*",used,Hidden Valley Ford,/dealer-services/hidden-valley-ford/AGC-SELLER-29580
9,2013 Volkswagen Golf 90TSI 7 Auto,"13,990*",used,Hidden Valley Ford,/dealer-services/hidden-valley-ford/AGC-SELLER-29580
10,2018 Toyota Corolla ZR Auto,"27,499*",used,Hidden Valley Ford,/dealer-services/hidden-valley-ford/AGC-SELLER-29580
11,2014 Holden Special Vehicles Clubsport R8 Manual MY14,"51,999*",used,Hidden Valley Ford,/dealer-services/hidden-valley-ford/AGC-SELLER-29580
12,2014 Toyota Landcruiser Prado GXL Auto 4x4 MY14,"46,999*",used,Dustins Auto Sales,/dealer-services/dustins-auto-sales/AGC-SELLER-51354
13,2017 Toyota RAV4 GX Auto AWD,"29,999*",used,Dustins Auto Sales,/dealer-services/dustins-auto-sales/AGC-SELLER-51354
14,2015 Mazda BT-50 XT Hi-Rider UR Manual 4x2 Dual Cab,"24,999*",used,Dustins Auto Sales,/dealer-services/dustins-auto-sales/AGC-SELLER-51354
15,2017 Toyota Landcruiser GXL Manual 4x4,"69,999*",used,Dustins Auto Sales,/dealer-services/dustins-auto-sales/AGC-SELLER-51354
16,2015 Toyota Landcruiser Prado GXL Auto 4x4,"44,999*",used,Dustins Auto Sales,/dealer-services/dustins-auto-sales/AGC-SELLER-51354
17,NA,NA,NA,Stuart Motor Group,/dealer-services/stuart-motor-group/AGC-SELLER-51471
18,2018 Toyota Hilux SR5 Manual 4x4 Double Cab,"48,990*",used,Peter Kittle Motor Company,/dealer-services/peter-kittle-motor-company/AGC-SELLER-10648
19,2019 Mitsubishi Triton GLX+ MR Auto 4x4 MY19,"45,990*",used,Peter Kittle Motor Company,/dealer-services/peter-kittle-motor-company/AGC-SELLER-10648
20,2016 Toyota Yaris Ascent Auto,"13,990*",used,Peter Kittle Motor Company,/dealer-services/peter-kittle-motor-company/AGC-SELLER-10648
21,2017 Mitsubishi Triton GLX+ MQ Auto 4x4 MY18 Double Cab,"27,990*",used,Peter Kittle Motor Company,/dealer-services/peter-kittle-motor-company/AGC-SELLER-10648
22,2017 Toyota Kluger GXL Auto 2WD,"34,990*",used,Peter Kittle Motor Company,/dealer-services/peter-kittle-motor-company/AGC-SELLER-10648
23,2013 Nissan Dualis Ti-L J10 Series 3 Manual 2WD MY12,"13,990*",used,DMG Stuart Park,/dealer-services/dmg-stuart-park/AGC-SELLER-58150
24,2010 Holden Ute SV6 VE Series II Manual,"12,990*",used,DMG Stuart Park,/dealer-services/dmg-stuart-park/AGC-SELLER-58150
25,2011 Holden Colorado LX RC Manual 4x2 MY11,"7,990*",used,DMG Stuart Park,/dealer-services/dmg-stuart-park/AGC-SELLER-58150
26,2012 Audi A4 Auto MY13,"18,990*",used,DMG Stuart Park,/dealer-services/dmg-stuart-park/AGC-SELLER-58150
27,2012 Mazda 3 MPS BL Series 2 Manual,"15,990*",used,DMG Stuart Park,/dealer-services/dmg-stuart-park/AGC-SELLER-58150
28,NA,NA,NA,Hidden Valley Ford New Cars,/dealer-services/hidden-valley-ford-new-cars/AGC-SELLER-55042
29,2016 Toyota Hilux Workmate Manual 4x4 Double Cab,"30,990*",used,Bridge Toyota Darwin Used Cars,/dealer-services/bridge-toyota-darwin-used-cars/AGC-SELLER-11029
30,2013 Toyota Landcruiser GXL Auto 4x4 MY12,"61,990*",used,Bridge Toyota Darwin Used Cars,/dealer-services/bridge-toyota-darwin-used-cars/AGC-SELLER-11029
31,2018 Mazda CX-9 Touring TC Auto,"42,990*",used,Bridge Toyota Darwin Used Cars,/dealer-services/bridge-toyota-darwin-used-cars/AGC-SELLER-11029
32,2013 Toyota Camry Atara R Auto,"17,990*",used,Bridge Toyota Darwin Used Cars,/dealer-services/bridge-toyota-darwin-used-cars/AGC-SELLER-11029
33,2016 Toyota Yaris Ascent Auto,"14,990*",used,Bridge Toyota Darwin Used Cars,/dealer-services/bridge-toyota-darwin-used-cars/AGC-SELLER-11029
34,2012 Suzuki Grand Vitara Manual 4x4 MY13,"14,990*",used,Auto Trend Winnellie,/dealer-services/auto-trend-winnellie/AGC-SELLER-17064
35,2011 Toyota Hilux Workmate Manual 4x2 MY10,"9,990*",used,Auto Trend Winnellie,/dealer-services/auto-trend-winnellie/AGC-SELLER-17064
36,2013 Mitsubishi Triton GL MN Manual 4x2 MY13,"13,990*",used,Auto Trend Winnellie,/dealer-services/auto-trend-winnellie/AGC-SELLER-17064
37,2015 Toyota Hilux Workmate Manual 4x2,"19,990*",used,Auto Trend Winnellie,/dealer-services/auto-trend-winnellie/AGC-SELLER-17064
38,2006 Toyota Landcruiser Standard Manual 4x4,"24,990*",used,Auto Trend Winnellie,/dealer-services/auto-trend-winnellie/AGC-SELLER-17064
39,2017 Toyota Landcruiser GXL Auto 4x4,"72,500*",used,Pickles Auctions - Darwin,/dealer-services/pickles-auctions-darwin/AGC-SELLER-29843
40,2014 Ford Territory TX SZ Auto,"12,500*",used,Pickles Auctions - Darwin,/dealer-services/pickles-auctions-darwin/AGC-SELLER-29843
41,2013 Toyota Camry Altise Auto,"13,680*",used,Pickles Auctions - Darwin,/dealer-services/pickles-auctions-darwin/AGC-SELLER-29843
42,2015 Holden Colorado LT RG Auto 4x4 MY15,"28,000*",used,Pickles Auctions - Darwin,/dealer-services/pickles-auctions-darwin/AGC-SELLER-29843
43,2015 Toyota Hiace LWB Auto,"21,480*",used,Pickles Auctions - Darwin,/dealer-services/pickles-auctions-darwin/AGC-SELLER-29843
44,NA,NA,NA,Pickles - Darwin,/dealer-services/pickles-darwin/AGC-SELLER-51077
45,2013 Mitsubishi Triton GL MN Manual 4x2 MY13,"12,990*",used,Discount Cars & Commercials,/dealer-services/discount-cars-commercials/AGC-SELLER-15774
46,2005 Toyota Hilux SR5 Manual 4x4 MY05 Dual Cab,"17,990*",used,Discount Cars & Commercials,/dealer-services/discount-cars-commercials/AGC-SELLER-15774
47,2007 Mazda 3 Maxx BK Series 2 Auto,"9,990*",used,Discount Cars & Commercials,/dealer-services/discount-cars-commercials/AGC-SELLER-15774
48,2013 Ford Focus Trend LW MKII Auto,"11,990*",used,Discount Cars & Commercials,/dealer-services/discount-cars-commercials/AGC-SELLER-15774
49,2009 Toyota Camry Altise Auto,"9,990*",used,Discount Cars & Commercials,/dealer-services/discount-cars-commercials/AGC-SELLER-15774
50,2016 Volkswagen Tiguan 118TSI 5N Auto 2WD MY16,"19,990*",used,DMG Winnellie,/dealer-services/dmg-winnellie/AGC-SELLER-58187
51,2016 Volkswagen Golf GTI 7 Manual MY17,"26,990*",used,DMG Winnellie,/dealer-services/dmg-winnellie/AGC-SELLER-58187
52,2018 Mazda 3 SP25 Astina BN Series Auto,"26,990*",used,DMG Winnellie,/dealer-services/dmg-winnellie/AGC-SELLER-58187
53,2017 Toyota Corolla Ascent Sport Auto,"17,990*",used,DMG Winnellie,/dealer-services/dmg-winnellie/AGC-SELLER-58187
54,2015 Hyundai Santa Fe Elite Auto 4x4 MY16,"26,990*",used,DMG Winnellie,/dealer-services/dmg-winnellie/AGC-SELLER-58187
55,2019 Nissan QASHQAI ST-L J11 Series 2 Auto,"31,990*",new,Hobart Nissan,/dealer-services/hobart-nissan/AGC-SELLER-58794
56,2019 Nissan QASHQAI ST-L J11 Series 2 Auto,"31,990*",new,Hobart Nissan,/dealer-services/hobart-nissan/AGC-SELLER-58794
57,2019 Nissan QASHQAI ST J11 Series 2 Auto,"26,990*",new,Hobart Nissan,/dealer-services/hobart-nissan/AGC-SELLER-58794
58,2019 Nissan Navara SL D23 Series 3 Auto 4x4 Dual Cab,"38,990*",new,Hobart Nissan,/dealer-services/hobart-nissan/AGC-SELLER-58794
59,2019 Nissan Navara RX D23 Series 3 Manual 4x2,"25,990*",new,Hobart Nissan,/dealer-services/hobart-nissan/AGC-SELLER-58794
60,2019 Nissan Pathfinder ST-L R52 Series III Auto 2WD MY19,"50,990*",used,Hobart Nissan,/dealer-services/hobart-nissan/AGC-SELLER-58794
61,2019 Nissan LEAF ZE1 Auto,"55,490*",used,Hobart Nissan,/dealer-services/hobart-nissan/AGC-SELLER-58794
62,2019 Nissan Navara N-TREK D23 Series 4 Auto 4x4 Dual Cab,"49,990*",used,Hobart Nissan,/dealer-services/hobart-nissan/AGC-SELLER-58794
63,2019 Nissan X-TRAIL ST T32 Series II Auto 2WD,"28,290*",used,Hobart Nissan,/dealer-services/hobart-nissan/AGC-SELLER-58794
64,2018 Nissan Navara RX D23 Series 3 Manual 4x2,"24,990*",used,Hobart Nissan,/dealer-services/hobart-nissan/AGC-SELLER-58794
65,2015 Land Rover Discovery TDV6 Auto 4x4 MY15,"52,990*",used,Jackson Motor Company - Devonport,/dealer-services/jackson-motor-company-devonport/AGC-SELLER-14641
66,2015 Hyundai i30 Auto MY16,"20,990*",used,Jackson Motor Company - Devonport,/dealer-services/jackson-motor-company-devonport/AGC-SELLER-14641
