,Car Name,Car Price,Car Type,Dealer_Name,Dealer_Link
0,2017 Mitsubishi Pajero Sport Exceed QE Auto 4x4 MY17,"36,990*",used,Co-Op Toyota,/dealer-services/co-op-toyota/AGC-SELLER-8217
1,2014 Toyota Corolla Ascent Auto,"13,990*",used,Co-Op Toyota,/dealer-services/co-op-toyota/AGC-SELLER-8217
2,2018 Mitsubishi Triton GLX+ MQ Manual 4x4 MY18 Double Cab,"32,490*",used,Co-Op Toyota,/dealer-services/co-op-toyota/AGC-SELLER-8217
3,2018 Toyota RAV4 GX Auto AWD,"27,888*",used,Co-Op Toyota,/dealer-services/co-op-toyota/AGC-SELLER-8217
4,2018 Suzuki Swift GL Navigator Auto,"15,990*",used,Co-Op Toyota,/dealer-services/co-op-toyota/AGC-SELLER-8217
5,2019 RAM 1500 Laramie SWB Auto 4x4 MY19,"114,990*",new,Buckby Motors New,/dealer-services/buckby-motors-new/AGC-SELLER-58758
6,2017 Nissan X-TRAIL ST T32 Series II Auto 2WD,"23,750*",used,North City Cars & Commercials,/dealer-services/north-city-cars-commercials/AGC-SELLER-18309
7,2015 Volkswagen Golf 90TSI 7 Auto MY15,"13,990*",used,North City Cars & Commercials,/dealer-services/north-city-cars-commercials/AGC-SELLER-18309
8,2016 Toyota Camry Altise Auto,"16,900*",used,North City Cars & Commercials,/dealer-services/north-city-cars-commercials/AGC-SELLER-18309
9,2017 Subaru Forester 2.5i-L S4 Auto AWD MY17,"25,900*",used,North City Cars & Commercials,/dealer-services/north-city-cars-commercials/AGC-SELLER-18309
10,2018 Hyundai Kona Go Auto 2WD MY19,"20,990*",used,North City Cars & Commercials,/dealer-services/north-city-cars-commercials/AGC-SELLER-18309
11,2019 Nissan QASHQAI ST+ J11 Series 2 Auto,"30,690*",new,Motors Devonport New Cars,/dealer-services/motors-devonport-new-cars/AGC-SELLER-11472
12,2019 Holden Colorado LS RG Manual 4x4 MY20,*,new,Motors Devonport New Cars,/dealer-services/motors-devonport-new-cars/AGC-SELLER-11472
