,Car Name,Car Price,Car Type,Dealer_Name,Dealer_Link
0,2019 Kia Carnival Platinum Auto MY20,"56,988*",used,Southland Kia New Cars,/dealer-services/southland-kia-new-cars/AGC-SELLER-18004
1,2019 Kia Seltos GT-Line Auto AWD MY20,"42,690*",used,Southland Kia New Cars,/dealer-services/southland-kia-new-cars/AGC-SELLER-18004
2,2019 Kia Seltos Sport Auto 2WD MY20,"31,190*",used,Southland Kia New Cars,/dealer-services/southland-kia-new-cars/AGC-SELLER-18004
3,2019 Kia Sportage SX Auto 2WD MY20,"30,488*",used,Southland Kia New Cars,/dealer-services/southland-kia-new-cars/AGC-SELLER-18004
4,2019 Kia Rio Sport Auto MY20,"18,990*",used,Southland Kia New Cars,/dealer-services/southland-kia-new-cars/AGC-SELLER-18004
5,2018 Toyota 86 GTS Auto,"33,990*",used,Melbourne City Hyundai,/dealer-services/melbourne-city-hyundai/AGC-SELLER-29780
6,2016 Ford Everest Trend UA Auto 4WD,"40,490*",used,Melbourne City Hyundai,/dealer-services/melbourne-city-hyundai/AGC-SELLER-29780
7,2018 Hyundai Sonata Premium Auto MY19,"31,990*",used,Melbourne City Hyundai,/dealer-services/melbourne-city-hyundai/AGC-SELLER-29780
8,2017 Kia Sorento SLi Auto AWD MY18,"38,888*",used,Melbourne City Hyundai,/dealer-services/melbourne-city-hyundai/AGC-SELLER-29780
9,2018 Hyundai Kona Active Auto 2WD MY18,"21,990*",used,Melbourne City Hyundai,/dealer-services/melbourne-city-hyundai/AGC-SELLER-29780
10,2019 Nissan Pathfinder Ti R52 Series III Auto 4WD MY19,"69,980*",new,Preston Nissan - New,/dealer-services/preston-nissan-new/AGC-SELLER-18215
11,2019 Nissan QASHQAI Ti J11 Series 2 Auto,"35,480*",new,Preston Nissan - New,/dealer-services/preston-nissan-new/AGC-SELLER-18215
12,2018 Nissan JUKE NISMO RS F15 Manual 2WD MY18,"29,980*",new,Preston Nissan - New,/dealer-services/preston-nissan-new/AGC-SELLER-18215
13,2019 Nissan X-TRAIL ST T32 Series II Auto 2WD,"33,890*",new,Preston Nissan - New,/dealer-services/preston-nissan-new/AGC-SELLER-18215
14,2019 Nissan Navara ST-X D23 Series 3 Auto 4x2 Dual Cab,"40,980*",new,Preston Nissan - New,/dealer-services/preston-nissan-new/AGC-SELLER-18215
15,2019 Nissan X-TRAIL ST T32 Series II Auto 2WD,"28,980*",used,Preston Nissan - New,/dealer-services/preston-nissan-new/AGC-SELLER-18215
16,2018 Nissan JUKE Ti-S F15 Series 2 Auto AWD,"26,980*",used,Preston Nissan - New,/dealer-services/preston-nissan-new/AGC-SELLER-18215
17,2019 Nissan QASHQAI ST J11 Series 2 Auto,"28,980*",used,Preston Nissan - New,/dealer-services/preston-nissan-new/AGC-SELLER-18215
18,2019 Nissan Navara ST D23 Series 4 Auto 4x4 Dual Cab,"48,980*",used,Preston Nissan - New,/dealer-services/preston-nissan-new/AGC-SELLER-18215
19,2018 Nissan QASHQAI ST J11 Series 2 Auto,"24,980*",used,Preston Nissan - New,/dealer-services/preston-nissan-new/AGC-SELLER-18215
20,2019 Mitsubishi Outlander LS ZL Auto 2WD MY19,"31,990*",used,Knox Mitsubishi New Cars,/dealer-services/knox-mitsubishi-new-cars/AGC-SELLER-52979
21,2019 Mitsubishi ASX ES XD Auto 2WD MY20,"24,888*",used,Knox Mitsubishi New Cars,/dealer-services/knox-mitsubishi-new-cars/AGC-SELLER-52979
22,2019 Mitsubishi Outlander LS ZL Auto 2WD MY19,"32,990*",used,Knox Mitsubishi New Cars,/dealer-services/knox-mitsubishi-new-cars/AGC-SELLER-52979
23,2019 Mitsubishi Triton GLX MR Auto 4x4 MY19 Double Cab,"36,490*",used,Knox Mitsubishi New Cars,/dealer-services/knox-mitsubishi-new-cars/AGC-SELLER-52979
