,Name,Number,Street,Suburb,Link
0,Parkside Automobiles Pty Ltd,433450073,"4/41-43 Parraweena Road, Caringbah",NSW 2229,/dealer-services/parkside-automobiles-pty-ltd/AGC-SELLER-54073
1,Mercedes-Benz North Shore - Mosman,02 9988 8888,"430 Military Road, Mosman",NSW 2088,/dealer-services/mercedes-benz-north-shore-mosman/AGC-SELLER-8650
2,Australia Longwell Motor Pty Ltd,450217218,"700 Parramatta Road, Petersham",NSW 2049,/dealer-services/australia-longwell-motor-pty-ltd/AGC-SELLER-53576
3,David Carlon Motors,02 4272 6000,"105 - 107 Princes Highway, Unanderra",NSW 2526,/dealer-services/david-carlon-motors/AGC-SELLER-17387
4,Booth's Motor Group - Tuggerah,02 4353 2244,"192 Pacific Highway, Tuggerah",NSW 2259,/dealer-services/booths-motor-group-tuggerah/AGC-SELLER-11138
5,Sydney City Traders,02 9797 0200,"151-153 Parramatta Road, Five Dock",NSW 2046,/dealer-services/sydney-city-traders/AGC-SELLER-18250
6,Geissler Motors,02 4823 0900,"100 Finlay Road, Goulburn",NSW 2580,/dealer-services/geissler-motors/AGC-SELLER-14679
7,iBuyAuction - ReSale Centre,297896604,"94 Rogers Street, Roselands",NSW 2196,/dealer-services/ibuyauction-resale-centre/AGC-SELLER-28995
8,Japan Auto Trading,297478300,"430 Parramatta Rd, STRATHFIELD",NSW 2134,/dealer-services/japan-auto-trading/AGC-SELLER-55337
9,Windsor Holden - New,(02) 4560 4000,"130 Windsor Road, McGraths Hill",NSW 2756,/dealer-services/windsor-holden-new/AGC-SELLER-55098
10,Hunter Motor Group,02 4999 6700,"174 High Street, Maitland",NSW 2320,/dealer-services/hunter-motor-group/AGC-SELLER-14871
11,Continental Cars Citroen Centre,02 9759 1977,"1215 Canterbury Rd, Roselands",NSW 2196,/dealer-services/continental-cars-citroen-centre/AGC-SELLER-11657
12,Lansvale Motor Group - Used Cars,(02) 9726 1111,"255-263 Hume Highway, Lansvale",NSW 2166,/dealer-services/lansvale-motor-group-used-cars/AGC-SELLER-58011
13,AMR Mazda BNCIS,02 9572 5000,"370-380 Parramatta Rd, Petersham",NSW 2049,/dealer-services/amr-mazda-bncis/AGC-SELLER-49042
14,Sandgate Autos,02 4968 3629,"215-223 Maitland Road, Sandgate",NSW 2304,/dealer-services/sandgate-autos/AGC-SELLER-18322
15,Victory Ford,07 5589 7700,"10-20 Minjungbal Drive, Tweed Heads South",NSW 2486,/dealer-services/victory-ford/AGC-SELLER-10955
16,Daimler Trucks Huntingwood - Vans,02 8822 4800,"10 Decker Place, Huntingwood",NSW 2148,/dealer-services/daimler-trucks-huntingwood-vans/AGC-SELLER-15997
17,Tynan Motors Hyundai,02 8545 8900,"519 Princes Highway, Kirrawee",NSW 2232,/dealer-services/tynan-motors-hyundai/AGC-SELLER-29681
18,Tony Azzi Prestige,0286661288,"146 Joynton Avenue, Zetland",NSW 2017,/dealer-services/tony-azzi-prestige/AGC-SELLER-54400
19,Biti Motors,02 60298279,"35 Balfour Street, Culcairn",NSW 2660,/dealer-services/biti-motors/AGC-SELLER-54582
20,Luxury Vehicle Connect,0283778744,"54/76b Edinburgh Road, Marrickville",NSW 2204,/dealer-services/luxury-vehicle-connect/AGC-SELLER-59396
21,Lander Nissan Used Cars,0288844477,"37 Blacktown Road, Blacktown",NSW 2148,/dealer-services/lander-nissan-used-cars/AGC-SELLER-12408
22,Liverpool Volkswagen Used Cars,02 9821 5070,"423 Hume Hwy, Liverpool",NSW 2170,/dealer-services/liverpool-volkswagen-used-cars/AGC-SELLER-14570
23,Action Lifestyle Centre,247293225,"2073 Castlereagh Road, Penrith",NSW 2750,/dealer-services/action-lifestyle-centre/AGC-SELLER-55383
24,GB Quality Cars,02 9682 2000,"155 Parramatta Road, Granville",NSW 2142,/dealer-services/gb-quality-cars/AGC-SELLER-51534
25,JR Motors World,400022220,"Unit 15/176 Sunnyholt Road, Kings Park",NSW 2148,/dealer-services/jr-motors-world/AGC-SELLER-53944
26,Newcastle Quality Cars,0478 181 002,"Unit 1A, 28-30 Kalaroo Road, Redhead",NSW 2290,/dealer-services/newcastle-quality-cars/AGC-SELLER-57704
27,Cruze Motors,02 9723 2323,"245 Hume Highway, Lansvale",NSW 2166,/dealer-services/cruze-motors/AGC-SELLER-52475
28,Central Coast Motor Group - Wyong Used Cars,02 4313 9437,"37 Amsterdam Circuit, North Wyong",NSW 2259,/dealer-services/central-coast-motor-group-wyong-used-cars/AGC-SELLER-14856
29,Southern Highlands Motor Group,02 4868 1477,"208 Argyle St, Moss Vale",NSW 2577,/dealer-services/southern-highlands-motor-group/AGC-SELLER-16070
30,Heartland Holden New - Penrith,02 4725 6555,"Corner Coreen Avenue & Castlereagh Road, Penrith",NSW 2750,/dealer-services/heartland-holden-new-penrith/AGC-SELLER-16992
31,Pickles Auctions - Newcastle,1300015122,"150 Bulls Garden Road, Gateshead",NSW 2290,/dealer-services/pickles-auctions-newcastle/AGC-SELLER-29831
32,Pickles Auctions - Dubbo,1300015122,"21L Yarrandale Road, Dubbo",NSW 2830,/dealer-services/pickles-auctions-dubbo/AGC-SELLER-29868
33,Lander Mitsubishi New Cars,02 9839 9000,"52 Sunnyholt Road, Blacktown",NSW 2148,/dealer-services/lander-mitsubishi-new-cars/AGC-SELLER-14868
34,Stewart Toyota Group NSW,02 9521 7111,"489 - 497 Princes Highway, Sutherland",NSW 2232,/dealer-services/stewart-toyota-group-nsw/AGC-SELLER-16461
35,Northside Auto Group,0414 426 519,"10 Chilvers Road, Thornleigh",NSW 2120,/dealer-services/northside-auto-group/AGC-SELLER-52151
36,Liverpool Nissan New Cars,02 9601 5777,"411 Hume Highway, Liverpool",NSW 2170,/dealer-services/liverpool-nissan-new-cars/AGC-SELLER-15436
37,Harrigan Moss Vale,02 4868 3580,"162 Argyle Street, Moss Vale",NSW 2577,/dealer-services/harrigan-moss-vale/AGC-SELLER-28982
38,Albion Park Motor Group Used,02 4257 4433,"Cnr Princes Highway and Colden Drive, Albion Park",NSW 2527,/dealer-services/albion-park-motor-group-used/AGC-SELLER-17078
39,Southern Classic Northside,02 4254 2000,"188-194 Corrimal Street, Wollongong",NSW 2500,/dealer-services/southern-classic-northside/AGC-SELLER-44701
40,Detailed Automotive,0418374666,"20 Tweed Street, Murwillumbah",NSW 2484,/dealer-services/detailed-automotive/AGC-SELLER-56090
41,S.J. Wholesale Motors,02 4961 6007,"56 Clyde Street, Hamilton North",NSW 2292,/dealer-services/s-j-wholesale-motors/AGC-SELLER-18425
42,Sun Origin Motors,0422 654 765,"228 Princess Highway, Arncliffe",NSW 2205,/dealer-services/sun-origin-motors/AGC-SELLER-49880
43,BMW Sydney - Premium Selection,02 9334 4555,"65 Craigend Street, Rushcutters Bay",NSW 2011,/dealer-services/bmw-sydney-premium-selection/AGC-SELLER-8083
44,Country Autos - Tamworth,02 6765 5480,"218 Bridge Street, Tamworth",NSW 2340,/dealer-services/country-autos-tamworth/AGC-SELLER-17545
45,Col Crawford Group,02 9941 1200,"497 Pittwater Road, Brookvale",NSW 2100,/dealer-services/col-crawford-group/AGC-SELLER-12428
46,Sydney City VW Commercial,02 8336 3000,"1024 Botany Road, Mascot",NSW 2020,/dealer-services/sydney-city-vw-commercial/AGC-SELLER-14760
47,Intergarage,0404 777 111,"51 Sawyer Lane, Artarmon",NSW 2064,/dealer-services/intergarage/AGC-SELLER-53539
48,Central Coast Hyundai Commercial Vehicles,450084840,"145-147 Main Road, Toukley",NSW 2263,/dealer-services/central-coast-hyundai-commercial-vehicles/AGC-SELLER-57736
49,Mercedes-Benz Hornsby Used,02 94874344,"120-124 Pacific Highway, Waitara",NSW 2077,/dealer-services/mercedes-benz-hornsby-used/AGC-SELLER-59564
50,Blacktown Motor Group,0450103000,"5/14 Steel Street, Blacktown",NSW 2148,/dealer-services/blacktown-motor-group/AGC-SELLER-58165
51,Scuderia Graziani,1300 080 388,"90 - 94 Crown Street, Woolloomooloo",NSW 2011,/dealer-services/scuderia-graziani/AGC-SELLER-16855
52,Newcastle Mazda New Cars,02 4908 5555,"248 Hannell Street, Maryville",NSW 2293,/dealer-services/newcastle-mazda-new-cars/AGC-SELLER-16540
53,Brian Hilton Motor Group Wyong Used,02 4353 1122,"154 Pacific Highway, Wyong",NSW 2259,/dealer-services/brian-hilton-motor-group-wyong-used/AGC-SELLER-18638
54,Carrs Cars  Central Coast,02 4365 0400,"2/15 Bonnal Road, Erina",NSW 2250,/dealer-services/carrs-cars-central-coast/AGC-SELLER-18600
55,Brookvale Nissan,0402 103 927,"581-583 Pittwater Road, Brookvale",NSW 2100,/dealer-services/brookvale-nissan/AGC-SELLER-57577
56,Goodman Cars,0418 234 777,"5 Kirkpatrick Street, North Turramurra",NSW 2074,/dealer-services/goodman-cars/AGC-SELLER-17160
57,AMG Sydney,02 8667 3600,"2 Sir Reginald Ansett Drive (Cnr Ninth Street), Mascot",NSW 2020,/dealer-services/amg-sydney/AGC-SELLER-56302
58,Tynan Motors Chrysler Jeep Miranda New Cars,02 8545 8888,"519 Princes Highway, Kirawee",NSW 2232,/dealer-services/tynan-motors-chrysler-jeep-miranda-new-cars/AGC-SELLER-15839
59,Moama Car Sales,413869623,"12 Graham Street, Moama",NSW 2731,/dealer-services/moama-car-sales/AGC-SELLER-57219
60,Volvo Cars Central Coast Used,243236663,"10 Central Coast Hwy, West Gosford",NSW 2250,/dealer-services/volvo-cars-central-coast-used/AGC-SELLER-57327
61,Illawarra Toyota Used - North Wollongong,02 4229 8333,"2A Flinders St, North Wollongong",NSW 2500,/dealer-services/illawarra-toyota-used-north-wollongong/AGC-SELLER-11996
62,Wideland Motor Group,02 6543 3066,"113 Maitland Road, Muswellbrook",NSW 2333,/dealer-services/wideland-motor-group/AGC-SELLER-17959
63,Heartland Motors CJD - Castle Hill,02 8858 0777,"Corner Windsor Road & Victoria Avenue, Castle Hill",NSW 2154,/dealer-services/heartland-motors-cjd-castle-hill/AGC-SELLER-28637
64,State Wide Automobiles,02 9525 5110,"39 Captain Cook Drive, Caringbah",NSW 2229,/dealer-services/state-wide-automobiles/AGC-SELLER-13182
65,The Auto House,02 9897 7005,"10 Sunblest Crescent, Mount Druitt",NSW 2770,/dealer-services/the-auto-house/AGC-SELLER-16218
66,Purnell Motors,02 8558 7000,"990 King Georges Road, Blakehurst",NSW 2221,/dealer-services/purnell-motors/AGC-SELLER-17278
67,I-CARS.COM,404888422,"6/23 Shearwater Drive, Taylors Beach",NSW 2316,/dealer-services/i-cars-com/AGC-SELLER-53709
68,Audi Centre Parramatta,02 8842 8888,"49 - 53 Church Street, Parramatta",NSW 2150,/dealer-services/audi-centre-parramatta/AGC-SELLER-12209
69,Motor One Garage,0403 209 907,"Yard 3 591 Carlisle Avenue, Minchinbury",NSW 2770,/dealer-services/motor-one-garage/AGC-SELLER-59517
70,Car Man Kev,02 9676 1641,"U 2 136-138 Sunnyholt Road, Blacktown",NSW 2148,/dealer-services/car-man-kev/AGC-SELLER-51560
71,Volvo Cars Central Coast New,243236663,"10 Central Coast Hwy, West Gosford",NSW 2250,/dealer-services/volvo-cars-central-coast-new/AGC-SELLER-57330
72,Illawarra Toyota Group Account,02 4256 7111,"2A Flinders St, North Wollongong",NSW 2500,/dealer-services/illawarra-toyota-group-account/AGC-SELLER-13207
73,Commercial King,0477 103 103,"21 Chicago Avenue, Blacktown",NSW 2148,/dealer-services/commercial-king/AGC-SELLER-53582
74,Joe Cappiello Motors Pty Ltd,02 4987 1412,"2356 Pacific Highway, Heatherbrae",NSW 2324,/dealer-services/joe-cappiello-motors-pty-ltd/AGC-SELLER-51269
75,Multicarauctions Cars R Us,418221875,"35/5 Gladstone Road, Castle Hill",NSW 2154,/dealer-services/multicarauctions-cars-r-us/AGC-SELLER-51623
76,On Four Wheels,0472591594,"214B Pitt Town Road, Kenthurst",NSW 2156,/dealer-services/on-four-wheels/AGC-SELLER-59287
77,Ozzy Car Sales Minto,0296032002,"1 Wiltshire Street, Minto",NSW 2566,/dealer-services/ozzy-car-sales-minto/AGC-SELLER-57434
78,Paul Wakeling  RAM / Mitsubishi / Isuzu,02 4628 1444,"Corner of Blaxland and Mill Roads, Campbelltown",NSW 2560,/dealer-services/paul-wakeling-ram-mitsubishi-isuzu/AGC-SELLER-55585
79,Northshore Mitsubishi,02 8198 1818,"603 Victoria Road, Ryde",NSW 2112,/dealer-services/northshore-mitsubishi/AGC-SELLER-12273
80,Deluxe Auto Group,406501292,"3/26-28 Preston St, Penrith",NSW 2750,/dealer-services/deluxe-auto-group/AGC-SELLER-57931
81,Harrigan New Cars,02 42308888,"46 Princes Hwy, Yallah",NSW 2530,/dealer-services/harrigan-new-cars/AGC-SELLER-54565
82,Phil Gilbert Lidcombe Used Cars,02 9735 8447,"66-76 Parramatta Road, Lidcombe",NSW 2141,/dealer-services/phil-gilbert-lidcombe-used-cars/AGC-SELLER-34
83,Mansour Motors,408506506,"Unit 5, 65-75 Captain Cook Drive, Caringbah",NSW 2229,/dealer-services/mansour-motors/AGC-SELLER-56500
84,Gateway Motor Group New Cars,02 4222 8888,"Cnr Mt Ousley Rd & Princes Highway, Fairy Meadow",NSW 2519,/dealer-services/gateway-motor-group-new-cars/AGC-SELLER-18409
85,Jesmond Light Commercials,02 4960 8155,"227 Maitland Road, Mayfield",NSW 2304,/dealer-services/jesmond-light-commercials/AGC-SELLER-30031
86,Harbour City Auto Traders,412230526,"4/40 Raglan Street, Mosman",NSW 2088,/dealer-services/harbour-city-auto-traders/AGC-SELLER-52974
87,Top Marques,410687835,"19 Whiting Street, Artarmon",NSW 2064,/dealer-services/top-marques/AGC-SELLER-17109
88,Great Western KIA - Used Cars,(02)88059500,"95 Great Western Highway, Kingswood",NSW 2747,/dealer-services/great-western-kia-used-cars/AGC-SELLER-59324
89,Trivett Classic Group,02 9841 8888,"40-64 Church Street, Parramatta",NSW 2150,/dealer-services/trivett-classic-group/AGC-SELLER-5488
90,Macleay Valley Motors,408674150,"92-96 Smith Street, Kempsey",NSW 2440,/dealer-services/macleay-valley-motors/AGC-SELLER-55239
91,Corban Automotive Group,02 4229 9111,"29A Flinders Street, Wollongong",NSW 2500,/dealer-services/corban-automotive-group/AGC-SELLER-10463
92,Spackman Motors,248321041,"33 Spring St, Crookwell",NSW 2583,/dealer-services/spackman-motors/AGC-SELLER-11921
93,Darryl Bashforth Used Cars,402862689,"38 Tweed Street, Brunswick Heads",NSW 2483,/dealer-services/darryl-bashforth-used-cars/AGC-SELLER-55080
94,Trivett Alexandria Peugeot,0288928113,"75-85 O'Riordan Street, Alexandria",NSW 2015,/dealer-services/trivett-alexandria-peugeot/AGC-SELLER-56344
95,Richard Drop,0449 771 341,"Unit 4/ 8 lancaster Street, Ingleburn",NSW 2565,/dealer-services/richard-drop/AGC-SELLER-28551
96,Heartland Motors Mitsubishi - Castle Hill,02 8858 0708,"Cnr Windsor Road & Victoria Ave, Castle Hill",NSW 2154,/dealer-services/heartland-motors-mitsubishi-castle-hill/AGC-SELLER-16607
97,City Ford Sydney,02 9331-5000,"60 O'Riordan Street, Alexandria",NSW 2015,/dealer-services/city-ford-sydney/AGC-SELLER-16303
98,Peninsula Motor Group (Group Account),02 9738 3400,"376 Edgar Street, Bankstown",NSW 2200,/dealer-services/peninsula-motor-group-group-account/AGC-SELLER-18562
99,Cars By The Park,404495000,"88 orpington street, Ashfield",NSW 2131,/dealer-services/cars-by-the-park/AGC-SELLER-47209
100,Magic Not Miracles Pty Ltd,0405274962,"561 Forest Road, Bexley",NSW 2207,/dealer-services/magic-not-miracles-pty-ltd/AGC-SELLER-57433
101,Daren James Kenny,0433 228 265,"22/65-75 Captain Cook Drive, Caringbah",NSW 2229,/dealer-services/daren-james-kenny/AGC-SELLER-29978
102,The Automotive People,1300 552 886,"202 Bong Bong Street, Bowral",NSW 2576,/dealer-services/the-automotive-people/AGC-SELLER-17169
103,Infiniti Centre Castle Hill,(02) 8853 9500,"2A Victoria Avenue, Castle Hill",NSW 2154,/dealer-services/infiniti-centre-castle-hill/AGC-SELLER-52761
104,Buy Sell & Trade Quality Cars,02 9623 1077,"87 Glossop Street, St Marys",NSW 2760,/dealer-services/buy-sell-trade-quality-cars/AGC-SELLER-50352
105,Bill Fasher Motors,0418241953,"568 OLD NORTHERN RD, DURAL",NSW 2158,/dealer-services/bill-fasher-motors/AGC-SELLER-58039
106,Penrith Valley Used Cars,412462286,"652 High Street, Penrith",NSW 2750,/dealer-services/penrith-valley-used-cars/AGC-SELLER-53779
107,American Big Wheels Auto Group,0448850381,"Level 5, Nexus Norwest, 4 Columbia Court, Baulkham Hills",NSW 2153,/dealer-services/american-big-wheels-auto-group/AGC-SELLER-57571
108,Brian Hilton Honda Used,243245744,"9 Pemell Street, North Gosford",NSW 2250,/dealer-services/brian-hilton-honda-used/AGC-SELLER-29556
109,Kelly Trotter Motor Group Gateshead,02 4920 8000,"39 Pacific Highway, Gateshead",NSW 2290,/dealer-services/kelly-trotter-motor-group-gateshead/AGC-SELLER-9698
110,Sadek Motor Group Revesby,02 8014 6667,"138 MILPERRA RD, REVESBY",NSW 2212,/dealer-services/sadek-motor-group-revesby/AGC-SELLER-59252
111,Heartland Motors KIA - Castle Hill,02 8858 0777,"Cnr Windsor Road and Victoria Avenue, Castle Hill",NSW 2154,/dealer-services/heartland-motors-kia-castle-hill/AGC-SELLER-18023
