,Name,Number,Street,Suburb,Link
0,Co-Op Toyota,03-6230 1901,"267 Argyle Street, HOBART",TAS 7000,/dealer-services/co-op-toyota/AGC-SELLER-8217
1,Buckby Motors New,03 6337 5000,"260 York Street, Launceston",TAS 7250,/dealer-services/buckby-motors-new/AGC-SELLER-58758
2,North City Cars & Commercials,03 6231 2777,"318 Argyle Street, North Hobart",TAS 7000,/dealer-services/north-city-cars-commercials/AGC-SELLER-18309
3,Motors Devonport New Cars,03 6420 4500,"1 Don Road, Devonport",TAS 7310,/dealer-services/motors-devonport-new-cars/AGC-SELLER-11472
4,Steve Jackson Motors,364252299,"2/4 Reibey Street, Ulverstone",TAS 7315,/dealer-services/steve-jackson-motors/AGC-SELLER-55340
5,Hobart BMW (OA),03 6236 9099,"23 Barrack Street, Hobart",TAS 7000,/dealer-services/hobart-bmw-oa/AGC-SELLER-58331
6,The Car Mart- Hobart,03 6211 0566,"14 Derwent Park Road, Hobart",TAS 7009,/dealer-services/the-car-mart-hobart/AGC-SELLER-15258
7,Motors Launceston,03 6332 9120,"22 - 24 Invermay Road, Launceston",TAS 7250,/dealer-services/motors-launceston/AGC-SELLER-103
8,Powell Motor Group,03 6272 4999,"259 Main Road, Derwent Park",TAS 7009,/dealer-services/powell-motor-group/AGC-SELLER-12928
9,Your Local Motor Group,0363230223,"151-155 Invermay Road, Invermay",TAS 7248,/dealer-services/your-local-motor-group/AGC-SELLER-58191
10,Trident Automotive,449049866,"3 Crescent Drive, Margate",TAS 7054,/dealer-services/trident-automotive/AGC-SELLER-57510
11,Motors Launceston New Cars,03 6332 9101,"Cnr Margaret & Elizabeth Sts, Launceston",TAS 7250,/dealer-services/motors-launceston-new-cars/AGC-SELLER-11357
12,Jackson Motor Company - Derwent Park,03 6277 6600,"Corner Main and Derwert Roads, Derwent Park",TAS 7009,/dealer-services/jackson-motor-company-derwent-park/AGC-SELLER-14640
13,Performance Automobiles,03 6210 7000,"281 - 301 Argyle Street, Hobart",TAS 7000,/dealer-services/performance-automobiles/AGC-SELLER-8799
14,Campbell Street Cars,03 6234 6118,"Corner Campbell and Warwick Streets, Hobart",TAS 7000,/dealer-services/campbell-street-cars/AGC-SELLER-53946
15,Hobart Nissan,03 6213 3300,"235 Argyle Street, Hobart",TAS 7000,/dealer-services/hobart-nissan/AGC-SELLER-58794
16,Jackson Motor Company - Devonport,03 6422 6300,"35 Don Road, Devonport",TAS 7310,/dealer-services/jackson-motor-company-devonport/AGC-SELLER-14641
17,Wayne's Car Sales,03 6231 9626,"217 Argyle Steet, Hobart",TAS 7000,/dealer-services/waynes-car-sales/AGC-SELLER-59186
18,Buckby Motors - BIG YARD at Margaret Street,03 6332 2800,"266 York St, Launceston",TAS 7250,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
19,Buckby Motors St John Street,363322800,"37-41 ST JOHN STREET, Launceston",TAS 7250,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
20,Jackson Motor Company - Group,03 6223 7000,"31 Lower Charles Street, Launceston",TAS 7250,/dealer-services/jackson-motor-company-group/AGC-SELLER-14643
21,Hobart Kia,03 62133444,"1A Brisbane Street, Hobart",TAS 7000,/dealer-services/hobart-kia/AGC-SELLER-59133
22,Cheap Cars,03 6334 2447,"2-10 Tamar St, Launceston",TAS 7250,/dealer-services/cheap-cars/AGC-SELLER-49795
23,The Car Mart Burnie,03 6430 2444,"Cnr Reeves Street and Bass Highway, Burnie",TAS 7320,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
24,Motors Glenorchy,03 6211 0650,"270 Main Rd, Glenorchy",TAS 7010,/dealer-services/motors-glenorchy/AGC-SELLER-10643
25,Motors Burnie New Cars,03 6430 2418,"60 Marine Terrace, Burnie",TAS 7320,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
26,Hobart BMW New Cars,0362369099,"23 Barrack Street, Hobart",TAS 7000,/dealer-services/hobart-bmw-new-cars/AGC-SELLER-58768
27,Pickles - Hobart,02 6239 1188,"56 Sunderland Street, Moonah",TAS 7009,/dealer-services/pickles-hobart/AGC-SELLER-50945
28,Performance Automobiles Group,03 6236 3700,"314 Macquarie Street, Hobart",TAS 7000,/dealer-services/performance-automobiles-group/AGC-SELLER-14624
29,Jackson Motor Company - Hobart,03 62383300,"152-170 Campbell Street, Hobart",TAS 7000,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
30,Tilford Auto Group Trade Clearance Centre,03 6273 8533,"56 Gormanston Road, Moonah",TAS 7009,/dealer-services/tilford-auto-group-trade-clearance-centre/AGC-SELLER-58762
31,The Car Mart - Launceston,03 63329199,"26 - 28 Invermay Road, Launceston",TAS 7250,/dealer-services/the-car-mart-launceston/AGC-SELLER-15254
32,Motors Burnie,03 6430 2412,"60 Marine Terrace, Burnie",TAS 7320,/dealer-services/motors-burnie/AGC-SELLER-101
33,Your Local Motor Group Hobart,03 6213 3315,"275 Main Road, Glenorchy",TAS 7010,/dealer-services/your-local-motor-group-hobart/AGC-SELLER-58666
34,Jackson Motor Company - Launceston,03 63237030,"31 Lower Charles Street, Launceston",TAS 7250,/dealer-services/jackson-motor-company-launceston/AGC-SELLER-864
35,City Cars and Commercials,0362341292,"160 Argyle Street, Hobart",TAS 7000,/dealer-services/city-cars-and-commercials/AGC-SELLER-59408
36,Phil Howe Power Engines,0418 131 428,"22A Quail Street, St Helens",TAS 7216,/dealer-services/phil-howe-power-engines/AGC-SELLER-29919
37,Jackson Motor Company - Burnie,03 6435 5500,"6-14 Scarfe Street, Camdale",TAS 7320,/dealer-services/jackson-motor-company-burnie/AGC-SELLER-15881
38,Motors Devonport,03 6420 4500,"1 Don Road, Devonport",TAS 7310,/dealer-services/motors-devonport/AGC-SELLER-102
39,Pickles Auctions - Hobart,1300015122,"56 Sunderland Street, Moonah",TAS 7009,/dealer-services/pickles-auctions-hobart/AGC-SELLER-29839
40,Tilford Auto Group Used Cars Hobart City,03 6234 0200,"35-43 Brisbane Street, Hobart",TAS 7000,/dealer-services/tilford-auto-group-used-cars-hobart-city/AGC-SELLER-561
41,Gowans Toyota Used Cars,03 6431 5677,"181 Bass Highway, Cooee",TAS 7320,/dealer-services/gowans-toyota-used-cars/AGC-SELLER-11421
42,Motors,0000000,"Cnr Collins, Macquarie Street, Hobart",TAS 7000,/dealer-services/motors/AGC-SELLER-1205
43,Gowans Motor Group New,03 6431 5677,"161-181 Bass Highway, Burnie",TAS 7320,/dealer-services/gowans-motor-group-new/AGC-SELLER-58748
44,Tilford Auto Group New,03 6234 0300,"118 Argyle Street, Hobart",TAS 7000,/dealer-services/tilford-auto-group-new/AGC-SELLER-59620
