,Name,Number,Street,Suburb,Link
0,Create Classics,0394288846,"121-125 Cremorne Street, Cremorne",VIC 3121,/dealer-services/create-classics/AGC-SELLER-59668
1,Carsales Callconnect (DO NOT TOUCH),+61390938601,"449 Punt Road, 449 Punt Road",VIC 3121,/dealer-services/carsales-callconnect-do-not-touch/AGC-SELLER-59674
2,Niron Automobile,0455509066,"228 Cheltenham Road, Keysborough",VIC 3173,/dealer-services/niron-automobile/AGC-SELLER-59690
3,Chahal Motors,0431064845,"125-127 Cheltenham Road, Dandenong",VIC 3175,/dealer-services/chahal-motors/AGC-SELLER-59709
4,Barry Bourke Warragul New Cars,03 5622 0000,"167 Queen Street, Warragul",VIC 3820,/dealer-services/barry-bourke-warragul-new-cars/AGC-SELLER-59736
5,Mustica Motors - New Cars,0358721666,"3667 Murray Valley Highway, Cobram",VIC 3644,/dealer-services/mustica-motors-new-cars/AGC-SELLER-59739
6,Western Highway Honda Footscray,1300322906,"462 geelong rd, West Footscray",VIC 3012,/dealer-services/western-highway-honda-footscray/AGC-SELLER-59741
7,Colac Motor Group New Cars,0352319603,"333-339 Princes Highway, Colac West",VIC 3250,/dealer-services/colac-motor-group-new-cars/AGC-SELLER-59751
8,Wangaratta Holden,03 5722 2000,"53-61 Tone Road, Wangaratta",VIC 3677,/dealer-services/wangaratta-holden/AGC-SELLER-59752
9,Smiths of Geelong New Cars,03 5222 2888,"510 Moorabool St., Geelong",VIC 3220,/dealer-services/smiths-of-geelong-new-cars/AGC-SELLER-59753
10,Essendon Isuzu UTE - New,0399377688,"300 Wirraway Road, Essendon Fields",VIC 3041,/dealer-services/essendon-isuzu-ute-new/AGC-SELLER-59810
11,Sherlow Used Cars Pty Ltd,0359431007,"404 Princes Highway, Officer",VIC 3809,/dealer-services/sherlow-used-cars-pty-ltd/AGC-SELLER-59818
12,Melbourne City Volkswagen,Carlos Santos,"351 Ingles Street, Port Melbourne",VIC 3207,/dealer-services/melbourne-city-volkswagen/AGC-SELLER-59833
13,Graham Jacka Holden New Cars,03 5461 1011,"35 Nolan Street, Maryborough",VIC 3465,/dealer-services/graham-jacka-holden-new-cars/AGC-SELLER-59839
14,The Big Garage New Cars,03 5152 4131,"628 Princes Highway, Bairnsdale",VIC 3875,/dealer-services/the-big-garage-new-cars/AGC-SELLER-59853
15,Burwood Nissan New Cars,03 9273 7222,"101 Burwood Highway, Burwood",VIC 3125,/dealer-services/burwood-nissan-new-cars/AGC-SELLER-59868
16,BKAutos,0417521341,"2/83 Nepean Hwy, Mentone",VIC 3194,/dealer-services/bkautos/AGC-SELLER-59872
17,Berwick Jaguar Land Rover New Cars,03 8726 1500,"751 Princes Highway, Berwick",VIC 3806,/dealer-services/berwick-jaguar-land-rover-new-cars/AGC-SELLER-59887
18,Caroline Springs Jeep,0392178680,"1107 Western Hwy, Ravenhall",VIC 3023,/dealer-services/caroline-springs-jeep/AGC-SELLER-59888
19,Tom Baker Motors Pty Ltd,0402062009,"21 Dirkala Avenue, Heathmont",VIC 3135,/dealer-services/tom-baker-motors-pty-ltd/AGC-SELLER-59898
20,Holts Auto Service Pty Ltd,0418584286,"69 - 75 Campbell Street, Swan Hill",VIC 3585,/dealer-services/holts-auto-service-pty-ltd/AGC-SELLER-59906
21,Davison Motor Group - New,0350187400,"705-711 Fifteenth Street, Mildura",VIC 3500,/dealer-services/davison-motor-group-new/AGC-SELLER-59908
22,Pigdons Holden New Cars,03 5743 1577,"92 Benalla Road, Yarrawonga",VIC 3730,/dealer-services/pigdons-holden-new-cars/AGC-SELLER-59924
23,Car Switch,0433819995,"6 Cochranes Road, Moorabbin",VIC 3189,/dealer-services/car-switch/AGC-SELLER-59947
24,LE MOTOR CARS,+61418522026,"26 St Georges Court, Greensborough",VIC 3088,/dealer-services/le-motor-cars/AGC-SELLER-59954
25,Daimler Trucks Laverton - New,03 9680 8777,"423 Boundary Rd, Truganina",VIC 3029,/dealer-services/daimler-trucks-laverton-new/AGC-SELLER-60028
26,Ritter Australia Pty Ltd,0398343500,"116 Highbury Road, Burwood",VIC 3125,/dealer-services/ritter-australia-pty-ltd/AGC-SELLER-60035
